 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text= Alle glider i tis, falder om, slår hovedet, der går ild i det, der kan gå ild i, hvilket man allerede ved, når man første gang kaster et blik på det nymalede flotte portræt af svigerfar.
1-1	Alle	al	PI:p-u#:--:----	
36-7	jo	jo	D-:----:--:u---	
36-8	ikke	ikke	D-:----:--:u---	
36-9	det	den	PM:s-un:--:----	
36-10	samme	samme	AC:§§u§:--:p---	
36-11	,	,	ZD	
36-12	somat	somat	NC:siuc:--:----	
36-13	man	man	XY:----:--:----	
36-14	ikke	ikke	D-:----:--:u---	
36-15	har	have	VF:----:sa:----	
36-16	blik	blik|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik|blik-1-1|blik-1-4|blik-1-4a|blik-1-3|blik-1-2|blik-2-1-1a	NC:siun:--:----	
36-17	for	for	T-:----:--:----	
36-18	verdens	verden	NC:sigc:--:----	
36-19	skønhed	skønhed	NC:siuc:--:----	
36-20	,	,	ZD	
36-21	uendelighed	uendelighed	NC:siuc:--:----	
36-22	og	og	CC:----:--:----	
36-23	uforståelighed	uforståelighed	:siuc:--:----	
36-24	.	.	ZP	

#id=37
#text= I stedet inviteres blikket indenfor i en parallel natur, hvor små bjergblomster skyder frem af krystallinske klipper.
37-1	I	i	T-:----:--:----	
37-2	stedet	sted	NC:sdun:--:----	
37-3	inviteres	invitere	VF:----:sp:----	
37-4	blikket	blik|blik-1-4a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-2-1-1a|blik-1-4|blik-1-2|blik-1-1|blik-1-3|blik-F-indre-blik	NC:sdun:--:----	
37-5	indenfor	indenfor	T-:----:--:----	
37-6	i	i	T-:----:--:----	
37-7	en	en	PI:s-uc:--:----	
37-8	parallel	parallel	AC:siuc:--:p---	
37-9	natur	natur	NC:siuc:--:----	
37-10	,	,	ZD	
37-11	hvor	hvor	D-:----:--:u---	
37-12	små	lille	AC:p#u#:--:p---	
37-13	bjergblomster	bjergblomst	NC:piu#:--:----	
37-14	skyder	skyde	VF:----:sa:----	
37-15	frem	frem	D-:----:--:u---	
37-16	af	af	T-:----:--:----	
37-17	krystallinske	krystallinsk	AC:p#u#:--:p---	
37-18	klipper	klippe	NC:piu#:--:----	
37-19	.	.	ZP	

#id=38
#text= Da opfordringerne fra plænen kom for langt ud, knurrede Stærk med blikket fejende ud over markerne bag os:
38-1	Da	da	CS:----:--:----	
38-2	opfordringerne	opfordring	NC:pdu#:--:----	
38-3	fra	fra	T-:----:--:----	
38-4	plænen	plæne	NC:sduc:--:----	
38-5	kom	komme	VF:----:ta:----	
38-6	for	for	T-:----:--:----	
38-7	langt	lang	AD:----:--:p---	
38-8	ud	ud	D-:----:--:u---	
38-9	,	,	ZD	
38-10	knurrede	knurre	VF:----:ta:----	
38-11	Stærk	stærk	AC:siuc:--:p---	
38-12	med	med	T-:----:--:----	
38-13	blikket	blik|blik-1-1|blik-1-2|blik-1-4|blik-2-1-1a|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik|blik-1-4a|blik-1-3	NC:sdun:--:----	
38-14	fejende	fejende	AD:----:--:p---	
38-15	ud	ud	D-:----:--:u---	
38-16	over	over	T-:----:--:----	
38-17	markerne	mark	NC:pdu#:--:----	
38-18	bag	bag	T-:----:--:----	
38-19	os	vi	PP:p-uc:--:-1#-	
38-20	:	:	ZP	

#id=39
#text= Tiderne Skifter, 2008 Gammelgaard, Per ' Svinets blik'.
39-1	Tiderne	tid	NC:pdu#:--:----	
39-2	Skifter	skifte	VF:----:sa:----	
39-3	,	,	ZD	
39-4	2008	2008	LC:--u-:--:----	
39-5	Gammelgaard	Gammelgaard	NP:siu#:--:----	
39-6	,	,	ZD	
39-7	Per	Per	NP:siu#:--:----	
39-8	'	'	ZA	
39-9	Svinets	Svinets	XY:----:--:----	
39-10	blik	blik|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-1|blik-1-3|blik-1-4a|blik-1-4|blik-1-2	NC:siun:--:----	
39-11	'	'	ZA	
39-12	.	.	ZP	

#id=40
#text=Horn tuder, bremser hviner, og måske bøjes blik.
40-1	Horn	horn	NC:siun:--:----	
40-2	tuder	tude	VF:----:sa:----	
40-3	,	,	ZD	
40-4	bremser	bremse	NC:piu#:--:----	
40-5	hviner	hvine	VF:----:sa:----	
40-6	,	,	ZD	
40-7	og	og	CC:----:--:----	
40-8	måske	måske	D-:----:--:u---	
40-9	bøjes	bøje	VI:----:-p:----	
40-10	blik	blik|blik-1-4|blik-2-1-1a|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik|blik-1-4a|blik-1-3|blik-1-2|blik-1-1	NC:siun:--:----	
40-11	.	.	ZP	

#id=41
#text=Med et sænket blik og et sart smil.
41-1	Med	med	T-:----:--:----	
41-2	et	en	PI:s-un:--:----	
41-3	sænket	sænke	VT:siu#:t-:----	
41-4	blik	blik|blik-1-2|blik-1-1|blik-1-3|blik-1-4a|blik-F-finde-nåde-for-nogens-blik|blik-F-indre-blik|blik-F-få-blikket|blik-2-1-1a|blik-1-4	NC:siun:--:----	
41-5	og	og	CC:----:--:----	
41-6	et	en	PI:s-un:--:----	
41-7	sart	sart	AC:siun:--:p---	
41-8	smil	smil	NC:siun:--:----	
41-9	.	.	ZP	

#id=42
#text= Læner man sig tilbage for at nyde musikken, rammer blikket ofte toppen af de omkringliggende huse, og her spotter man næsten altid blomster og grønne gevækster, der titter op mellem skorstene og antenner.
42-1	Læner	læne	VF:----:sa:----	
42-2	man	man	PI:#-uc:--:----	
42-3	sig	sig	PP:#-u#:--:-3y-	
42-4	tilbage	tilbage	D-:----:--:u---	
42-5	for	for	T-:----:--:----	
42-6	at	at	UI:----:--:----	
42-7	nyde	nyde	VI:----:-a:----	
42-8	musikken	musik	NC:sduc:--:----	
42-9	,	,	ZD	
42-10	rammer	ramme	VF:----:sa:----	
42-11	blikket	blik|blik-1-4|blik-2-1-1a|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik|blik-1-4a|blik-1-3|blik-1-2|blik-1-1	NC:sdun:--:----	
42-12	ofte	ofte	D-:----:--:u---	
42-13	toppen	top	NC:sduc:--:----	
42-14	af	af	T-:----:--:----	
42-15	de	den	PM:p-u#:--:----	
42-16	omkringliggende	omkringliggende	AD:----:--:p---	
42-17	huse	huse	VI:----:-a:----	
42-18	,	,	ZD	
42-19	og	og	CC:----:--:----	
42-20	her	her	D-:----:--:u---	
42-21	spotter	spotte	VF:----:sa:----	
42-22	man	man	PI:#-uc:--:----	
42-23	næsten	næsten	D-:----:--:u---	
42-24	altid	altid	D-:----:--:u---	
42-25	blomster	blomst	NC:piu#:--:----	
42-26	og	og	CC:----:--:----	
42-27	grønne	grøn	AC:p#u#:--:p---	
42-28	gevækster	gevækst	NC:piu#:--:----	
42-29	,	,	ZD	
42-30	der	der	US:----:--:----	
42-31	titter	titte	VF:----:sa:----	
42-32	op	op	D-:----:--:u---	
42-33	mellem	em	T-:----:--:----	
42-34	skorstene	skorsten	NC:piu#:--:----	
42-35	og	og	CC:----:--:----	
42-36	antenner	antenne	NC:piu#:--:----	
42-37	.	.	ZP	

#id=43
#text=Står man på Hasslers terrasse og lader blikket glide fra Peterskirkens enorme kuppel hen over hustagene mod syd i håb om at få et glimt af Colosseum, stoppes det brat af det enorme hvide monument for kong Victor Emanuel II, der dominerer Piazza Venezia.
43-1	Står	stå	VF:----:sa:----	
43-2	man	man	PI:#-uc:--:----	
43-3	på	på	T-:----:--:----	
43-4	Hasslers	Hasslers	NP:sig#:--:----	
43-5	terrasse	terrasse	NC:siuc:--:----	
43-6	og	og	CC:----:--:----	
43-7	lader	lade	VF:----:sa:----	
43-8	blikket	blik|blik-F-finde-nåde-for-nogens-blik|blik-F-indre-blik|blik-F-få-blikket|blik-2-1-1a|blik-1-1|blik-1-3|blik-1-4a|blik-1-4|blik-1-2	NC:sdun:--:----	
43-9	glide	glide	VI:----:-a:----	
43-10	fra	fra	T-:----:--:----	
43-11	Peterskirkens	Peterskirken	NP:sig#:--:----	
43-12	enorme	enorm	AC:sdu#:--:p---	
43-13	kuppel	kuppel	NC:siuc:--:----	
43-14	hen	hen	D-:----:--:u---	
43-15	over	over	T-:----:--:----	
43-16	hustagene	hustag	NC:pdu#:--:----	
43-17	mod	mod	T-:----:--:----	
43-18	syd	syd	NC:§iu§:--:----	
43-19	i	i	T-:----:--:----	
43-20	håb	håb	NC:siun:--:----	
43-21	om	om	T-:----:--:----	
43-22	at	at	UI:----:--:----	
43-23	få	få	VI:----:-a:----	
43-24	et	en	PI:s-un:--:----	
43-25	glimt	glimt	NC:siun:--:----	
43-26	af	af	T-:----:--:----	
43-27	Colosseum	Colosseum	NP:siu#:--:----	
43-28	,	,	ZD	
43-29	stoppes	stoppe	VF:----:sp:----	
43-30	det	det	PP:s-un:--:-3n-	
43-31	brat	brat	AD:----:--:p---	
43-32	af	af	T-:----:--:----	
43-33	det	den	PM:s-un:--:----	
43-34	enorme	enorm	AC:sdu#:--:p---	
43-35	hvide	hvid	AC:sdu#:--:p---	
43-36	monument	monument	NC:siun:--:----	
43-37	for	for	T-:----:--:----	
43-38	kong	kong	NC:§§u§:--:----	
43-39	Victor	Victor	NP:siu#:--:----	
43-40	Emanuel	Emanuel	NP:siu#:--:----	
43-41	II	II	LC:--u-:--:----	
43-42	,	,	ZD	
43-43	der	der	US:----:--:----	
43-44	dominerer	dominere	VF:----:sa:----	
43-45	Piazza	Piazza	NP:siu#:--:----	
43-46	Venezia	Venezia	NP:siu#:--:----	
43-47	.	.	ZP	

#id=44
#text= Han kan vende med den og være en skudtrussel, hans førsteberøringer er gode, og han har blik for at spille bolden i hullerne fremad banen til angriberne".
44-1	Han	han	PP:s-nc:--:-3n-	
44-2	kan	kunne	VF:----:sa:----	
44-3	vende	vende	VI:----:-a:----	
44-4	med	med	T-:----:--:----	
44-5	den	den	PP:s-uc:--:-3n-	
44-6	og	og	CC:----:--:----	
44-7	være	være	VI:----:-a:----	
44-8	en	en	PI:s-uc:--:----	
44-9	skudtrussel	skudtrussel	NC:siuc:--:----	
44-10	,	,	ZD	
44-11	hans	hans	PO:#--#:--:-3ns	
44-12	førsteberøringer	førsteberøring	NC:piu#:--:----	
44-13	er	være	VF:----:sa:----	
44-14	gode	god	AC:p#u#:--:p---	
44-15	,	,	ZD	
44-16	og	og	CC:----:--:----	
44-17	han	han	PP:s-nc:--:-3n-	
44-18	har	have	VF:----:sa:----	
44-19	blik	blik|blik-F-indre-blik|blik-1-3|blik-1-2|blik-1-1|blik-1-4|blik-2-1-1a|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-1-4a	NC:siun:--:----	
44-20	for	for	T-:----:--:----	
44-21	at	at	UI:----:--:----	
44-22	spille	spille	VI:----:-a:----	
44-23	bolden	bold	NC:sduc:--:----	
44-24	i	i	T-:----:--:----	
44-25	hullerne	hul	NC:pdu#:--:----	
44-26	fremad	fremad	D-:----:--:u---	
44-27	banen	bane	NC:sduc:--:----	
44-28	til	til	T-:----:--:----	
44-29	angriberne	angriber	NC:pdu#:--:----	
44-30	"	"	ZI	
44-31	.	.	ZP	

#id=45
#text=Mekanikeren dukker op, kaster et blik på køretøjet og udbryder:
45-1	Mekanikeren	mekaniker	NC:sduc:--:----	
45-2	dukker	dukke	VF:----:sa:----	
45-3	op	op	D-:----:--:u---	
45-4	,	,	ZD	
45-5	kaster	kaste	VF:----:sa:----	
45-6	et	en	PI:s-un:--:----	
45-7	blik	blik|blik-F-finde-nåde-for-nogens-blik|blik-F-indre-blik|blik-F-få-blikket|blik-2-1-1a|blik-1-1|blik-1-3|blik-1-4a|blik-1-4|blik-1-2	NC:siun:--:----	
45-8	på	på	T-:----:--:----	
45-9	køretøjet	køretøj	NC:sdun:--:----	
45-10	og	og	CC:----:--:----	
45-11	udbryder	udbryder	NC:siuc:--:----	
45-12	:	:	ZP	

#id=46
#text=Moderen ser sit snit til at sende en gang brystmælk mod beskueren, hendes blik er til gengæld tomt.
46-1	Moderen	Moderen	NC:sduc:--:----	
46-2	ser	se	VF:----:sa:----	
46-3	sit	sin	PO:s--n:--:-3ys	
46-4	snit	snit	NC:siun:--:----	
46-5	til	til	T-:----:--:----	
46-6	at	at	UI:----:--:----	
46-7	sende	sende	VI:----:-a:----	
46-8	en	en	PI:s-uc:--:----	
46-9	gang	gang	NC:siuc:--:----	
46-10	brystmælk	brystmælk	NC:siuc:--:----	
46-11	mod	mod	T-:----:--:----	
46-12	beskueren	beskuer	NC:sduc:--:----	
46-13	,	,	ZD	
46-14	hendes	hendes	PO:#--#:--:-3ns	
46-15	blik	blik|blik-2-1-1a|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik|blik-1-2|blik-1-4|blik-1-4a|blik-1-3|blik-1-1	NC:siun:--:----	
46-16	er	være	VF:----:sa:----	
46-17	til	til	T-:----:--:----	
46-18	gengæld	gengæld	NC:siuc:--:----	
46-19	tomt	tom	AD:----:--:p---	
46-20	.	.	ZP	

#id=47
#text= Man kommer et par steder ganske tæt på hende, kan se hendes hår, hendes hud med årerne under hudens pergament, hendes krop og ansigt, og man bemærker - foruroliget - det mærkeligt tomme blik.
47-1	Man	man	PI:#-uc:--:----	
47-2	kommer	komme	VF:----:sa:----	
47-3	et	en	PI:s-un:--:----	
47-4	par	par	NC:siun:--:----	
47-5	steder	stede	VF:----:sa:----	
47-6	ganske	ganske	D-:----:--:u---	
47-7	tæt	tæt	AD:----:--:p---	
47-8	på	på	T-:----:--:----	
47-9	hende	hun	PP:s-uc:--:-3n-	
47-10	,	,	ZD	
47-11	kan	kunne	VF:----:sa:----	
47-12	se	se	VI:----:-a:----	
47-13	hendes	hendes	PO:#--#:--:-3ns	
47-14	hår	hår	NC:siun:--:----	
47-15	,	,	ZD	
47-16	hendes	hendes	PO:#--#:--:-3ns	
47-17	hud	hud	NC:siuc:--:----	
47-18	med	med	T-:----:--:----	
47-19	årerne	åre	NC:pdu#:--:----	
47-20	under	under	T-:----:--:----	
47-21	hudens	hud	NC:sdgc:--:----	
47-22	pergament	pergament	NC:siun:--:----	
47-23	,	,	ZD	
47-24	hendes	hendes	PO:#--#:--:-3ns	
47-25	krop	krop	NC:siuc:--:----	
47-26	og	og	CC:----:--:----	
47-27	ansigt	ansigt	NC:siun:--:----	
47-28	,	,	ZD	
47-29	og	og	CC:----:--:----	
47-30	man	man	PI:#-uc:--:----	
47-31	bemærker	bemærke	VF:----:sa:----	
47-32	-	-	NC:piu#:--:----	
47-33	foruroliget	forurolige	VT:siu#:t-:----	
47-34	-	-	NC:piu#:--:----	
47-35	det	det	XY:----:--:----	
47-36	mærkeligt	mærkelig	AD:----:--:p---	
47-37	tomme	tom	AC:sdu#:--:p---	
47-38	blik	blik|blik-1-3|blik-1-4a|blik-F-finde-nåde-for-nogens-blik|blik-F-indre-blik|blik-F-få-blikket|blik-2-1-1a|blik-1-4|blik-1-2|blik-1-1	NC:siun:--:----	
47-39	.	.	ZP	

#id=48
#text= halsstarrig, reaktionær, mandschauvinistisk, skydeglad - og så alligevel med et forsorent blik i øjnene.
48-1	halsstarrig	halsstarrig	AC:siuc:--:p---	
48-2	,	,	ZD	
48-3	reaktionær	reaktionær	AC:siuc:--:p---	
48-4	,	,	ZD	
48-5	mandschauvinistisk	mandschauvinistisk	AD:----:--:p---	
48-6	,	,	ZD	
48-7	skydeglad	skydeglad	AC:siu§:--:p---	
48-8	-	-	ZH	
48-9	og	og	CC:----:--:----	
48-10	så	så	D-:----:--:u---	
48-11	alligevel	alligevel	D-:----:--:u---	
48-12	med	med	T-:----:--:----	
48-13	et	en	PI:s-un:--:----	
48-14	forsorent	forsoren	AC:siun:--:p---	
48-15	blik	blik|blik-1-4|blik-2-1-1a|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik|blik-1-4a|blik-1-1|blik-1-2|blik-1-3	NC:siun:--:----	
48-16	i	i	T-:----:--:----	
48-17	øjnene	øje	NC:pdu#:--:----	
48-18	.	.	ZP	

#id=49
#text= I stedet for at kræve, at regeringen, kommunen, skolen eller politiet gør noget, skulle man måske starte med at kaste et blik på sine egne drenge, hvis man har sådan nogle i huset.
49-1	I	i	T-:----:--:----	
49-2	stedet	sted	NC:sdun:--:----	
49-3	for	for	T-:----:--:----	
49-4	at	at	UI:----:--:----	
49-5	kræve	kræve	VI:----:-a:----	
49-6	,	,	ZD	
49-7	at	at	CS:----:--:----	
49-8	regeringen	regering	NC:sduc:--:----	
49-9	,	,	ZD	
49-10	kommunen	kommune	NC:sduc:--:----	
49-11	,	,	ZD	
49-12	skolen	skole	NC:sduc:--:----	
49-13	eller	eller	CC:----:--:----	
49-14	politiet	politi	NC:sdun:--:----	
49-15	gør	gøre	VF:----:sa:----	
49-16	noget	nogen	PI:s-un:--:----	
49-17	,	,	ZD	
49-18	skulle	skulle	VF:----:ta:----	
49-19	man	man	PI:#-uc:--:----	
49-20	måske	måske	D-:----:--:u---	
49-21	starte	starte	VI:----:-a:----	
49-22	med	med	T-:----:--:----	
49-23	at	at	UI:----:--:----	
49-24	kaste	kaste	VI:----:-a:----	
49-25	et	en	PI:s-un:--:----	
49-26	blik	blik|blik-F-indre-blik|blik-F-få-blikket|blik-1-3|blik-1-4|blik-1-2|blik-1-1|blik-1-4a|inde-nåde-for-nogens-blik|blik-2-1-1a	NC:siun:--:----	
49-27	på	på	T-:----:--:----	
49-28	sine	sin	PO:p--#:--:-3ys	
49-29	egne	egen	AC:p#u#:--:p---	
49-30	drenge	dreng	NC:piu#:--:----	
49-31	,	,	ZD	
49-32	hvis	hvis	CS:----:--:----	
49-33	man	man	PI:#-uc:--:----	
49-34	har	have	VF:----:sa:----	
49-35	sådan	sådan	D-:----:--:u---	
49-36	nogle	nogen	PI:p-u#:--:----	
49-37	i	i	T-:----:--:----	
49-38	huset	hus	NC:sdun:--:----	
49-39	.	.	ZP	

#id=50
#text= En tørklædeklædt teenager, der "på samme måde som Den Lille Havfrue udtrykker et enormt dilemma mellem to verdener", eller den grimme ælling, "som sikkert vil afføde lige så mange undrende blikke fra berejste turister for sin ringe størrelse, som Den Lille Havfrue gør".
50-1	En	en	PI:s-uc:--:----	
50-2	tørklædeklædt	tørklædeklædt	AC:siu§:--:p---	
50-3	teenager	teenager	NC:siuc:--:----	
50-4	,	,	ZD	
50-5	der	der	US:----:--:----	
50-6	"	"	ZI	
50-7	på	på	T-:----:--:----	
50-8	samme	samme	AC:§§u§:--:p---	
50-9	måde	måde	NC:siuc:--:----	
50-10	som	som	US:----:--:----	
50-11	Den	den	PP:s-uc:--:-3n-	
50-12	Lille	lille	AC:siu§:--:p---	
50-13	Havfrue	havfrue	NC:siuc:--:----	
50-14	udtrykker	udtrykke	VF:----:sa:----	
50-15	et	en	PI:s-un:--:----	
50-16	enormt	enorm	AC:siun:--:p---	
50-17	dilemma	dilemma	NC:siun:--:----	
50-18	mellem	mellem	T-:----:--:----	
50-19	to	to	LC:--u-:--:----	
50-20	verdener	verden	NC:piu#:--:----	
50-21	"	"	ZI	
50-22	,	,	ZD	
50-23	eller	eller	CC:----:--:----	
50-24	den	den	PM:s-uc:--:----	
50-25	grimme	grim	AC:sdu#:--:p---	
50-26	ælling	ælling	NC:siuc:--:----	
50-27	,	,	ZD	
50-28	"	"	ZI	
50-29	som	som	US:----:--:----	
50-30	sikkert	sikker	AD:----:--:p---	
50-31	vil	ville	VF:----:sa:----	
50-32	afføde	afføde	VI:----:-a:----	
50-33	lige	lige	D-:----:--:u---	
50-34	så	så	D-:----:--:u---	
50-35	mange	mangen	AC:p#u#:--:p---	
50-36	undrende	undre	VP:##u#:s-:----	
50-37	blikke	blik|blik-1-4|blik-2-1-1a|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik|blik-1-4a|blik-1-3|blik-1-2|blik-1-1	NC:piu#:--:----	
50-38	fra	fra	T-:----:--:----	
50-39	berejste	berejst	AC:p#u#:--:p---	
50-40	turister	turist	NC:piu#:--:----	
50-41	for	for	T-:----:--:----	
50-42	sin	sin	PO:s--c:--:-3ys	
50-43	ringe	ringe	AC:§§u§:--:p---	
50-44	størrelse	størrelse	NC:siuc:--:----	
50-45	,	,	ZD	
50-46	som	som	US:----:--:----	
50-47	Den	den	PP:s-uc:--:-3n-	
50-48	Lille	lille	AC:siu§:--:p---	
50-49	Havfrue	havfrue	NC:siuc:--:----	
50-50	gør	gøre	VF:----:sa:----	
50-51	"	"	ZI	
50-52	.	.	ZP	

#id=51
#text=I den lille kælderbiograf kaster Carsten Brandt og hustruen og  kompagnonen Tine Blichmann nervøse blikke op imod det lave loft i det stemningsfulde lokale.
51-1	I	i	T-:----:--:----	
51-2	den	den	PM:s-uc:--:----	
51-3	lille	lille	AC:s§u§:--:p---	
51-4	kælderbiograf	kælderbiograf	NC:siuc:--:----	
51-5	kaster	kaste	VF:----:sa:----	
51-6	Carsten	ten	NP:siu#:--:----	
51-7	Brandt	Brandt	NP:siu#:--:----	
51-8	og	og	CC:----:--:----	
51-9	hustruen	hustru	NC:sduc:--:----	
51-10	og	og	CC:----:--:----	
51-11	kompagnonen	kompagnon	NC:sduc:--:----	
51-12	Tine	Tine	NP:siu#:--:----	
51-13	Blichmann	Blichmann	NP:siu#:--:----	
51-14	nervøse	nervøs	AC:p#u#:--:p---	
51-15	blikke	blik|blik-F-få-blikket|blik-F-indre-blik|blik-1-3|blik-1-4|blik-1-2|blik-1-1|blik-1-4a|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a	NC:piu#:--:----	
51-16	op	op	--:u---	
51-17	imod	imod	T-:----:--:----	
51-18	det	den	PM:s-un:--:----	
51-19	lave	lav	AC:sdu#:--:p---	
51-20	loft	loft	NC:siun:--:----	
51-21	i	i	T-:----:--:----	
51-22	det	den	PM:s-un:--:----	
51-23	stemningsfulde	stemningsfuld	AC:sdu#:--:p---	
51-24	lokale	lokale	NC:siun:--:----	
51-25	.	.	ZP	

#id=52
#text=Så mens vi her har ladet blikket vandre gennem de seneste års dancehall og frem til de aktuelle kontroverser, er den musikalske udvikling allerede boblet videre.
52-1	Så	så	D-:----:--:u---	
52-2	mens	mens	CS:----:--:----	
52-3	vi	vi	PP:p-nc:--:-1n-	
52-4	her	her	D-:----:--:u---	
52-5	har	have	VF:----:sa:----	
52-6	ladet	lade	VT:siu#:t-:----	
52-7	blikket	blik|blik-1-1|blik-1-2|blik-1-4|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-1-4a|blik-1-3	NC:sdun:--:----	
52-8	vandre	vandre	VI:----:-a:----	
52-9	gennem	gennem	T-:----:--:----	
52-10	de	den	PM:p-u#:--:----	
52-11	seneste	sen	AC:§du§:--:s---	
52-12	års	år	NC:pig#:--:----	
52-13	dancehall	dancehall	NC:siuc:--:----	
52-14	og	og	CC:----:--:----	
52-15	frem	frem	D-:----:--:u---	
52-16	til	til	T-:----:--:----	
52-17	de	den	PM:p-u#:--:----	
52-18	aktuelle	aktuel	AC:p#u#:--:p---	
52-19	kontroverser	kontrovers	NC:piu#:--:----	
52-20	,	,	ZD	
52-21	er	være	VF:----:sa:----	
52-22	den	den	PM:s-uc:--:----	
52-23	musikalske	musikalsk	AC:sdu#:--:p---	
52-24	udvikling	udvikling	NC:siuc:--:----	
52-25	allerede	allerede	D-:----:--:u---	
52-26	boblet	boble	VT:siu#:t-:----	
52-27	videre	videre	D-:----:--:u---	
52-28	.	.	ZP	

#id=53
#text= at regeringen overser de væsentlige værdier og udfordringer, fordi den har blikket fast rettet mod penge.
53-1	at	at	CS:----:--:----	
53-2	regeringen	regering	NC:sduc:--:----	
53-3	overser	overse	VF:----:sa:----	
53-4	de	den	PM:p-u#:--:----	
53-5	væsentlige	væsentlig	AC:p#u#:--:p---	
53-6	værdier	værdi	NC:piu#:--:----	
53-7	og	og	CC:----:--:----	
53-8	udfordringer	udfordring	NC:piu#:--:----	
53-9	,	,	ZD	
53-10	fordi	fordi	CS:----:--:----	
53-11	den	den	PP:s-uc:--:-3n-	
53-12	har	have	VF:----:sa:----	
53-13	blikket	blik|blik-1-1|blik-1-3|blik-1-4a|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-indre-blik|blik-F-få-blikket|blik-1-4|blik-1-2	NC:sdun:--:----	
53-14	fast	fast	AD:----:--:p---	
53-15	rettet	rette	VT:siu#:t-:----	
53-16	mod	mod	T-:----:--:----	
53-17	penge	penge	NC:piu#:--:----	
53-18	.	.	ZP	

#id=54
#text= Kast et blik på uret, og kom bag på tilhørerne med præcision.
54-1	Kast	kaste	VM:----:--:----	
54-2	et	en	PI:s-un:--:----	
54-3	blik	blik|blik-1-2|blik-1-3|blik-1-1|blik-1-4|blik-1-4a|blik-2-1-1a|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik	NC:siun:--:----	
54-4	på	på	T-:----:--:----	
54-5	uret	ur	NC:sdun:--:----	
54-6	,	,	ZD	
54-7	og	og	CC:----:--:----	
54-8	kom	komme	VF:----:ta:----	
54-9	bag	bag	D-:----:--:u---	
54-10	på	på	T-:----:--:----	
54-11	tilhørerne	tilhører	NC:pdu#:--:----	
54-12	med	med	T-:----:--:----	
54-13	præcision	præcision	NC:siuc:--:----	
54-14	.	.	ZP	

#id=55
#text= Men hvor Panarello og Millet i mine øjne foregiver at ville spejle kulminationen på kvinders seksuelle frisættelse ved at pege på underkastelsen, objektgørelsen som mulige nydelsespositioner for kvinder, men reelt går det mandlige bliks ærinde, giver Roche Helen fuld kontrol over sin sansebaserede fortolkning af egenkroppen.
55-1	Men	men	CC:----:--:----	
55-2	hvor	hvor	D-:----:--:u---	
55-3	Panarello	Panarello	NP:siu#:--:----	
55-4	og	og	CC:----:--:----	
55-5	Millet	Millet	NP:siu#:--:----	
55-6	i	i	T-:----:--:----	
55-7	mine	min	PO:p--#:--:-1ns	
55-8	øjne	øje	NC:piu#:--:----	
55-9	foregiver	foregive	VF:----:sa:----	
55-10	at	at	UI:----:--:----	
55-11	ville	ville	VI:----:-a:----	
55-12	spejle	spejle	VI:----:-a:----	
55-13	kulminationen	kulmination	NC:sduc:--:----	
55-14	på	på	T-:----:--:----	
55-15	kvinders	kvinde	NC:pig#:--:----	
55-16	seksuelle	seksuel	AC:sdu#:--:p---	
55-17	frisættelse	frisættElse	XF:----:--:----	
55-18	ved	ved	T-:----:--:----	
55-19	at	at	UI:----:--:----	
55-20	pege	pege	VI:----:-a:----	
55-21	på	på	T-:----:--:----	
55-22	underkastelsen	underkastelse	NC:sduc:--:----	
55-23	,	,	ZD	
55-24	objektgørelsen	objektgørelsen	AC:siuc:--:p---	
55-25	som	som	US:----:--:----	
55-26	mulige	mulig	AC:p#u#:--:p---	
55-27	nydelsespositioner	nydelsesposition	NC:piu#:--:----	
55-28	for	for	T-:----:--:----	
55-29	kvinder	kvinde	NC:piu#:--:----	
55-30	,	,	ZD	
55-31	men	men	CC:----:--:----	
55-32	reelt	reel	AD:----:--:p---	
55-33	går	gå	VF:----:sa:----	
55-34	det	den	PM:s-un:--:----	
55-35	mandlige	mandlig	AC:sdu#:--:p---	
55-36	bliks	blik|blik-1-4|blik-1-4a|blik-2-1-1a|blik-1-1|blik-1-3|blik-1-2|blik-F-finde-nåde-for-nogens-blik|blik-F-indre-blik|blik-F-få-blikket	NC:sign:--:----	
